Node, x, y
137, -6668.925585, 6693256.697150
138, 3595.751741, 6693203.813006
139, 1687.437884, 6692072.930974
140, 14675.281264, 6690821.172968
141, 3304.743122, 6691183.439253
142, -321.859074, 6691322.256269
143, 6488.469357, 6690939.035903
144, 11416.760846, 6690849.632743
145, -2982.656811, 6690448.044445
146, 8701.681618, 6689907.901099
147, 4411.058247, 6689178.412665
148, 1386.223123, 6689614.068552
149, 10344.677120, 6688655.501814
150, 12803.513643, 6688645.173032
151, -1262.793886, 6687979.622799
152, 8516.802294, 6687551.906554
153, 12662.894096, 6686822.501892
154, 4709.304117, 6686127.247065
155, 1046.673195, 6686309.613803
156, 10171.143214, 6685909.467140
157, 7906.179398, 6682570.603569
158, 12791.108406, 6682823.052510
159, 2371.912147, 6676595.629130
160, -17116.121059, 6721554.201480
161, -19496.761932, 6721372.217426
162, -15703.348039, 6720111.333565
163, -20750.902983, 6720272.002787
164, -22546.971433, 6720012.416119
165, -17788.114787, 6719408.615020
166, -16434.454440, 6719198.833004
167, -19661.457095, 6719064.937776
168, -14794.438128, 6718963.769243
169, -20965.460939, 6718956.166487
170, -18779.536929, 6718763.265133
171, -17108.450680, 6718504.883277
172, -22350.090874, 6718510.314155
173, -18126.947729, 6718342.491575
174, -14602.478290, 6718254.428791
175, -20775.241750, 6718089.404371
176, -18987.925399, 6717655.563972
177, -17075.238016, 6717536.705944
178, -15035.554205, 6717346.497367
179, -21020.718241, 6717078.330771
180, -16364.411593, 6716126.142244
181, -14142.151695, 6716423.771592
182, -15476.742480, 6715554.173579
183, -13027.514187, 6715101.020926
184, -13865.022344, 6714942.031725
185, -15041.916833, 6714159.213116
186, -13029.449941, 6714081.146929
187, -13430.513220, 6713608.962974
188, -9895.003559, 6695215.477260
189, -11516.133907, 6695073.807732
190, -12779.416929, 6694100.400971
191, -14153.674527, 6693677.800912
192, -11314.704209, 6693532.069631
193, -10245.490891, 6692824.117344
194, -8825.615252, 6692707.009597
195, -7774.181504, 6692370.948382
196, -12390.111330, 6692102.254978
197, -10267.643011, 6691714.748591
198, -13138.534967, 6691568.699599
199, -10078.204767, 6690437.286890
200, -7868.413340, 6690395.959792
201, -11871.158543, 6690279.009843
202, -13789.558257, 6689979.383429
203, -8708.578325, 6689504.835715
204, -4976.901592, 6689441.503743
205, -13112.478564, 6688875.932181
206, -10990.813248, 6689031.208635
207, -7278.270034, 6688808.169459
208, -9598.214203, 6688761.212776
209, -8754.490809, 6686918.659127
210, -12537.391824, 6687422.439763
211, -3244.986519, 6687371.825234
212, -5433.217024, 6686283.856572
213, -10811.920340, 6686873.243345
214, -12370.777938, 6684887.209654
215, -9942.420513, 6684746.108885
216, -2641.999232, 6684169.094039
217, -10906.760397, 6683222.337128
218, -1262.926308, 6683057.039135
219, -7426.565455, 6683709.992375
220, -4450.721405, 6682881.296129
221, -9729.650377, 6681885.150416
222, -940.034356, 6681195.965753
223, -12197.317078, 6681493.340906
224, -14878.024875, 6680728.369458
225, -6948.335114, 6679941.620692
226, -11938.303457, 6678724.572269
227, -14205.474766, 6678546.953564
228, -10233.654822, 6678171.338928
229, -16241.005266, 6676129.093281
230, -12831.775171, 6674714.584780
231, -38652.102211, 6719617.774316
232, -36401.963962, 6719125.063929
233, -42559.813665, 6719057.174938
234, -40421.846149, 6718441.900098
235, -34511.459921, 6717159.350168
236, -38432.986702, 6716900.152213
237, -36204.175223, 6716535.414555
238, -42227.074198, 6717127.843462
239, -44536.867298, 6716885.513949
240, -40742.951275, 6716531.081691
241, -32597.463002, 6715529.425109
242, -39272.119270, 6715030.969173
243, -34256.940134, 6715000.481659
244, -40390.978761, 6714657.595498
245, -29850.444392, 6714665.397515
246, -37447.192104, 6714272.178236
247, -41371.273116, 6714244.186504
248, -36094.754584, 6714118.520398
249, -35056.455778, 6713217.807534
250, -32716.275230, 6713371.602375
251, -30688.024613, 6713380.502489
252, -38692.350675, 6713683.609321
253, -41456.517148, 6712453.656929
254, -28350.337537, 6712522.447930
255, -30146.836605, 6711934.940145
256, -42805.246413, 6711985.541356
257, -31779.171620, 6711723.275065
258, -36265.843056, 6711656.251162
259, -39490.159054, 6711843.430846
260, -37626.119606, 6711358.087975
261, -33482.258599, 6711197.016551
262, -35186.323080, 6711197.200935
263, -30447.047729, 6710545.419426
264, -28654.028353, 6710399.368917
265, -36684.413507, 6710248.242872
266, -43937.650124, 6710266.696614
267, -41471.696344, 6709853.968464
268, -34657.635543, 6709589.249491
269, -3974.524020, 6742049.229467
270, -5313.581197, 6741655.935667
271, -2491.475345, 6741019.071068
272, -11192.941980, 6741781.559388
273, -7222.371872, 6739894.507500
274, -5309.462447, 6739494.391097
275, -4071.788339, 6739027.847027
276, -9238.674171, 6738633.083645
277, -7878.546978, 6738681.828548
278, -11605.670622, 6739025.888106
279, -17332.667652, 6739805.762408
280, -5451.102647, 6737239.451844
281, -12874.402736, 6737857.765441
282, -2843.864527, 6737403.534749
283, -8559.504401, 6736347.791055
284, -7549.448179, 6736549.941912
285, -10472.909667, 6736098.912414
286, -4723.127964, 6734909.152532
287, -13319.209977, 6735117.209442
288, -15281.311315, 6735387.653144
289, -8911.119293, 6734508.527603
290, -11788.588595, 6734040.744406
291, -5632.842369, 6733862.976253
292, -7275.804712, 6733883.927255
293, -3981.668757, 6733022.284378
294, -10192.423252, 6732482.663683
295, -7982.164892, 6732314.204150
296, -13675.207297, 6732173.974509
297, -11997.065718, 6732357.899928
298, -4816.831325, 6731554.883920
299, -8864.780881, 6732104.285424
300, -15223.838484, 6731082.178679
301, -6454.163703, 6730357.595489
302, -10683.504245, 6730514.336496
303, -12587.817314, 6730820.276936
304, 12816.084992, 6710649.305144
305, 10623.406298, 6710303.682132
306, 12503.323117, 6709283.222678
307, 7307.660735, 6708780.412793
308, 5965.099135, 6708185.382266
309, 10651.368460, 6708193.283310
310, 9160.193213, 6708312.608642
311, 12703.648235, 6707260.783742
312, 8714.400885, 6707936.879339
313, 7693.971103, 6707405.955792
314, 4597.298148, 6707029.807002
315, 2938.249031, 6706962.011126
316, 6548.313623, 6706558.473732
317, 1167.130560, 6706578.311079
318, 9497.617594, 6705146.721381
319, 4043.516617, 6705709.031019
320, 7760.031622, 6705178.398610
321, 2349.657171, 6705131.874822
322, 4574.118776, 6704534.074614
323, 7047.916267, 6703513.766119
324, 4836.461363, 6702834.967930
325, 6894.754222, 6702500.012837
326, 6724.442514, 6701020.436645
327, 3796.184811, 6700737.884285
328, 8526.744724, 6700007.765149
329, 6007.827428, 6698325.069181
330, 7267.218091, 6697946.622832
331, -8029.117494, 6723458.296836
332, -10307.091469, 6722884.616690
333, -9019.267515, 6722782.380842
334, -7355.702312, 6722760.365271
335, -7742.545965, 6721621.398027
336, -10927.942512, 6721784.310759
337, -9532.851294, 6721370.139743
338, -8480.529363, 6721247.628510
339, -6940.892077, 6720498.088192
340, -5687.226002, 6720455.727612
341, -9435.585190, 6720193.173939
342, -3438.567315, 6720220.271888
343, -8216.251543, 6720043.323325
344, -4434.601345, 6719643.590768
345, -6863.522957, 6719286.869127
346, -6215.217997, 6718807.309402
347, -3231.957062, 6718735.233123
348, -4929.773012, 6718514.708574
349, -7118.133548, 6718266.830946
350, -8338.144043, 6718101.990534
351, -4988.709400, 6717400.680497
352, -6190.514606, 6717176.756074
353, -7565.018777, 6716606.637832
354, -8972.257415, 6716701.060851
355, -10296.289990, 6715952.010918
356, -9147.548182, 6714953.745185
357, -26678.405420, 6714004.298009
358, -26208.004786, 6712160.337560
359, -27091.044723, 6712054.422326
360, -24979.923966, 6711503.940619
361, -25599.590505, 6710971.237138
362, -26677.060412, 6710765.619729
363, -24504.632702, 6710469.635239
364, -27250.226850, 6710127.793575
365, -25634.771970, 6709930.762083
366, -24349.962567, 6709748.937439
367, -27014.672461, 6709309.832782
368, -23331.774554, 6709181.015653
369, -25271.475600, 6708940.575919
370, -23526.571525, 6707989.854978
371, -22582.007363, 6707878.923040
372, -23817.353256, 6707585.002454
373, -21889.476631, 6707230.136212
374, -24599.897067, 6706827.635017
375, -23270.071847, 6706749.558431
376, -21534.164813, 6706130.952521
377, -22766.865195, 6705890.278308
378, -23656.253723, 6706007.535435
379, -20724.009138, 6705269.617596
380, -23293.936444, 6704970.751750
381, -21733.099803, 6704781.682092
382, -13027.026204, 6729087.711314
383, -5816.317789, 6728622.427194
384, -14145.873228, 6728854.581528
385, -10080.183320, 6728769.144951
386, -8881.212702, 6728717.314094
387, -12284.539932, 6728566.512455
388, -11094.860752, 6728396.209095
389, -14290.703055, 6727499.985214
390, -11225.396157, 6727328.558637
391, -8182.575131, 6726947.134929
392, -7346.055564, 6727198.238023
393, -9681.876857, 6726751.219949
394, -16212.368574, 6727273.622994
395, -6627.485915, 6726658.105352
396, -12179.058022, 6726918.301448
397, -17661.898546, 6727318.868326
398, -8798.393672, 6726551.330400
399, -10636.746512, 6726444.391630
400, -13001.220942, 6725912.344627
401, -15957.635273, 6725718.227155
402, -14660.928607, 6725640.227770
403, -11658.261854, 6725405.605497
404, -8753.287166, 6725441.899103
405, -7304.992760, 6725378.588044
406, -9450.399215, 6725024.360298
407, -10741.661818, 6724909.257672
408, -12533.856161, 6724703.491081
409, -7674.105403, 6724502.309012
410, -17199.118200, 6724329.995219
411, -10975.175021, 6723542.013847
412, -9338.046158, 6723987.265011
413, -15161.706878, 6724222.269461
414, -13372.485602, 6723911.632248
415, -15740.286702, 6723349.894422
416, -12122.654920, 6723126.700381
417, -35564.694925, 6732794.521582
418, -32515.647168, 6730181.801769
419, -35736.943107, 6730208.145041
420, -39821.110631, 6731415.462780
421, -37550.578215, 6729465.125812
422, -39722.434680, 6729330.753042
423, -31324.759144, 6728979.904468
424, -34223.267165, 6729057.576648
425, -44078.858615, 6729146.559454
426, -32477.171871, 6728270.873943
427, -37785.121098, 6727905.649635
428, -33884.734778, 6727929.065454
429, -36560.355463, 6727420.871292
430, -39361.625202, 6727602.951177
431, -42815.845363, 6727192.171780
432, -32144.171761, 6726332.616230
433, -41007.243398, 6726247.228372
434, -37326.886753, 6726028.661878
435, -39149.038971, 6725521.273352
436, -42868.454984, 6724892.889558
437, -36232.278049, 6724776.439767
438, -39137.004391, 6724428.926804
439, -40965.726984, 6723931.303458
440, -39357.967753, 6722328.562609
441, -41102.583966, 6722321.317373
442, -37623.671265, 6722283.955317
443, -39677.364283, 6720961.716634
444, -41792.099370, 6720862.368907
445, 25213.637038, 6731404.804926
446, 26879.753982, 6729339.224036
447, 21154.218597, 6730239.332132
448, 24372.442631, 6728862.711103
449, 17325.054949, 6729664.734856
450, 22574.057244, 6728166.310682
451, 26984.158726, 6726915.052000
452, 20498.628021, 6726923.606380
453, 18750.522326, 6726607.594904
454, 25772.898475, 6725035.455266
455, 17720.284928, 6725740.473319
456, 22294.687592, 6725339.351995
457, 20483.456455, 6724500.356379
458, 23331.587425, 6723202.604938
459, 26117.977864, 6723095.645418
460, 21157.387039, 6722669.179135
461, 18382.022713, 6722954.334036
462, 32414.053183, 6721423.465879
463, 28539.714436, 6722104.198451
464, 24314.882838, 6721388.964857
465, 21896.812351, 6721086.714914
466, 26679.868557, 6720696.018783
467, 23079.153320, 6719633.857786
468, 29069.513107, 6716895.934685
469, 23794.834770, 6718399.380677
470, 20617.066309, 6717967.677923
471, 21482.603185, 6716592.659151
472, 19712.919404, 6714040.295997
473, 25137.134819, 6712527.557391
474, 21931.448911, 6713131.383181
475, -49387.750640, 6729077.751406
476, -46684.371331, 6728985.362813
477, -53105.332953, 6728430.766044
478, -45230.270170, 6726150.722096
479, -49089.834921, 6725297.432182
480, -44257.382499, 6724535.896809
481, -46963.584438, 6724733.132508
482, -44139.900699, 6722658.906913
483, -47141.908923, 6721158.048652
484, -44916.619818, 6721316.403367
485, -50336.303248, 6721540.579330
486, -51936.970497, 6720683.978419
487, -48156.213815, 6718441.347165
488, -52631.216409, 6717619.300062
489, -54357.204361, 6717207.003710
490, -50617.639140, 6715889.696174
491, -47066.936425, 6716205.140186
492, -49604.542274, 6715819.325767
493, -44354.938740, 6715230.752716
494, -45993.747502, 6714474.200009
495, -53275.596119, 6713977.609085
496, -43049.845311, 6714177.311534
497, -49480.307359, 6713337.213217
498, -51338.379093, 6713271.594964
499, -45584.833357, 6713228.438405
500, -48166.438835, 6712280.270254
501, -50048.971339, 6710525.184138
502, -52614.342097, 6710582.892306
503, -47594.543707, 6710055.427879
504, -52480.706787, 6706643.010678
505, -47756.069393, 6707126.312343
506, -27865.650295, 6708977.115106
507, -32705.810249, 6708546.070102
508, -41615.940391, 6708161.013980
509, -44091.487252, 6708520.440201
510, -34884.221204, 6707364.643730
511, -29044.442718, 6706895.317090
512, -30414.870896, 6707014.305511
513, -37094.664457, 6707893.044116
514, -43048.637746, 6706908.364093
515, -41635.113200, 6706369.472989
516, -39446.663488, 6706448.454589
517, -45419.741742, 6705839.093579
518, -36739.000216, 6705516.948057
519, -38801.078020, 6704980.404583
520, -43221.629919, 6704841.808409
521, -41650.636896, 6704637.236190
522, -40829.293467, 6704217.331927
523, -38988.827009, 6703581.095411
524, -36934.779526, 6703852.883747
525, -42897.018555, 6702916.655780
526, -46663.572314, 6702859.607973
527, -49138.674365, 6700931.482067
528, -44699.845554, 6701264.085014
529, -46372.777371, 6700330.692145
530, -43643.097341, 6699281.685186
531, -47795.808610, 6699118.644683
532, -44599.689079, 6697622.025301
533, -13572.299488, 6722699.471560
534, -14543.918455, 6722586.048726
535, -12692.226104, 6722078.295866
536, -15259.981580, 6721633.557886
537, -12103.315831, 6720986.188637
538, -11247.054495, 6720932.989967
539, -12909.169478, 6720618.030431
540, -14470.691845, 6720645.849906
541, -10610.586205, 6719850.714357
542, -14357.844411, 6719833.223813
543, -12684.619342, 6719568.164216
544, -9201.483352, 6719230.304666
545, -11676.713708, 6719036.503547
546, -9673.160709, 6718193.906411
547, -13216.940933, 6718227.852209
548, -11031.292618, 6717717.813982
549, -12145.954920, 6717461.108901
550, -10508.703882, 6717027.670769
551, -13100.998299, 6716764.098993
552, -11424.084380, 6716369.632289
553, -12721.004749, 6715770.775861
554, -12092.115727, 6714728.435000
555, -10072.422616, 6714546.781287
556, -23444.907704, 6714658.674105
557, -24241.453562, 6714184.177902
558, -24206.332161, 6713324.724321
559, -22850.562892, 6713358.982125
560, -23993.728746, 6712379.609406
561, -22178.936999, 6712252.218936
562, -23116.958004, 6712106.286659
563, -21590.480718, 6711086.988211
564, -23100.262999, 6710511.798191
565, -20668.657227, 6709987.101096
566, -21857.262510, 6709905.129727
567, -18228.435184, 6709629.702093
568, -21166.287196, 6709245.430060
569, -18735.414700, 6708977.077377
570, -22153.386110, 6709084.805174
571, -20042.009805, 6709032.787454
572, -21455.359731, 6708209.938393
573, -17840.607222, 6708111.919652
574, -19440.395307, 6707895.802071
575, -20406.170529, 6707711.492205
576, -20320.127422, 6706733.459503
577, -33307.716367, 6696932.554185
578, -29493.972480, 6696719.917058
579, -31501.038073, 6695383.553865
580, -33516.490860, 6695559.356795
581, -32496.174333, 6693713.392665
582, -30854.585143, 6693423.567879
583, -28222.165501, 6692953.023534
584, -29679.861516, 6692753.480276
585, -34025.761503, 6693081.599565
586, -31779.138496, 6691910.819481
587, -34528.590441, 6690996.774879
588, -29359.375953, 6690725.795807
589, -33978.707309, 6690171.627406
590, -31100.090164, 6690482.963668
591, -27420.375892, 6690236.466445
592, -33360.294165, 6689035.354627
593, -31148.954379, 6687924.327664
594, -34058.249604, 6687109.761596
595, -32905.324419, 6685396.694169
596, -35055.772148, 6683075.863394
597, -12407.142679, 6708760.009897
598, -12917.232394, 6707959.497270
599, -13710.075475, 6706812.784695
600, -12602.418320, 6706610.312648
601, -13956.711361, 6706049.263559
602, -12506.261576, 6705716.960800
603, -14878.095170, 6705236.178717
604, -11657.352841, 6704704.585085
605, -13657.015537, 6704590.677724
606, -12499.992240, 6704111.898172
607, -14881.662687, 6704292.477115
608, -16108.645813, 6704086.843150
609, -10752.411334, 6703559.678937
610, -13861.412999, 6703269.767492
611, -13323.435920, 6702953.060310
612, -15074.761966, 6702929.458179
613, -11932.278978, 6702436.344506
614, -15595.422156, 6702224.132804
615, -13235.736162, 6701524.717062
616, -13880.880882, 6701263.979347
617, -14637.308493, 6700975.384758
618, -15512.337982, 6700902.940711
619, -12664.580414, 6700640.777761
620, -11335.085411, 6699969.729535
621, -13888.334455, 6699188.540013
622, -12622.812816, 6698785.832062
623, -10843.501135, 6698284.113072
624, -14762.113508, 6698478.065369
625, -12578.122777, 6697372.580911
626, -10381.185832, 6697249.287708
627, -14565.501064, 6696789.705516
628, -9693.548831, 6697093.692179
629, -14222.905908, 6695613.279841
630, -15476.669581, 6695269.994312
631, -4805.341285, 6708188.861880
632, -3811.132732, 6707314.370288
633, -5341.414472, 6706857.376565
634, -3646.260899, 6704899.086622
635, -5082.432504, 6705211.332494
636, -511.591688, 6704271.943589
637, -3037.124981, 6704327.995433
638, 655.507835, 6703949.353944
639, -4664.836981, 6703634.397032
640, -2303.158555, 6703476.777568
641, -964.768174, 6703122.536811
642, 529.383065, 6702243.444146
643, -3023.296840, 6702388.833529
644, -4054.372790, 6701825.959832
645, 851.040320, 6701357.699423
646, -323.290253, 6701197.184951
647, -1289.240181, 6700588.101250
648, -4553.784259, 6700874.853182
649, -2900.953955, 6700517.450048
650, -6381.439348, 6700085.273913
651, -262.467193, 6699625.303259
652, 2234.273133, 6699379.870926
653, -4629.211789, 6699263.576060
654, -1611.481804, 6699163.508908
655, 1069.160980, 6699064.842545
656, -4926.594072, 6698579.355858
657, -6600.072776, 6698745.647716
658, -3116.001431, 6698786.881381
659, -1076.511132, 6697967.283976
660, 3297.540498, 6697694.739504
661, -7083.675839, 6697618.938992
662, -2022.703666, 6696350.962067
663, -5118.103353, 6697067.220342
664, -22448.853366, 6698246.348317
665, -26195.459740, 6697183.214168
666, -21976.316838, 6696861.885879
667, -23733.236076, 6696267.396285
668, -19436.712122, 6695748.247153
669, -20853.985803, 6695865.057886
670, -16926.330236, 6695225.302266
671, -18647.839635, 6695222.205576
672, -21911.478887, 6694754.915717
673, -26275.583406, 6694787.298216
674, -24102.711946, 6694473.412267
675, -20060.282098, 6693983.320203
676, -17838.446415, 6694175.268857
677, -17055.487468, 6693216.953293
678, -22059.169246, 6693591.366223
679, -25494.977841, 6693432.263999
680, -15782.954639, 6693165.324202
681, -19196.886966, 6693219.824204
682, -14571.491944, 6691978.246124
683, -26018.400793, 6691757.423196
684, -23563.248458, 6691957.163710
685, -18649.310072, 6691654.503037
686, -21435.264426, 6691918.195938
687, -22685.009774, 6690784.214350
688, -24692.395572, 6689975.206424
689, 2618.474366, 6719654.016945
690, 6575.168191, 6719623.119874
691, 5205.154680, 6720015.605192
692, 5675.903122, 6719158.670397
693, 7399.655810, 6719122.109812
694, 1391.067854, 6719092.707173
695, 3666.862328, 6718973.673095
696, 2947.281006, 6718181.180794
697, 1581.443517, 6718032.611682
698, 5991.619313, 6717968.836466
699, 4510.329449, 6717740.389990
700, 452.142230, 6717782.044130
701, -1123.993277, 6717169.452107
702, 4034.847456, 6717333.064769
703, 6754.796025, 6717377.247216
704, 1849.534940, 6717209.284924
705, 3139.114755, 6717011.315940
706, 5771.773961, 6716369.751391
707, 4625.243174, 6716326.478032
708, 736.035788, 6716388.082094
709, 2001.508077, 6716117.696177
710, 3327.954321, 6715721.206416
711, 7613.949405, 6715765.331103
712, 6562.217858, 6715469.552709
713, 4757.717415, 6715404.544926
714, 2736.225827, 6715021.279389
715, 917.242413, 6714896.540984
716, 3860.998178, 6714637.432660
717, 5887.316712, 6714290.409313
718, 1633.723766, 6713904.714204
719, 2706.885680, 6713712.454170
720, 4194.308796, 6713182.075383
721, 8401.059651, 6713129.023818
722, 1301.784556, 6712800.880060
723, 5705.227660, 6712530.412735
724, 3592.984261, 6712276.313057
725, 5065.724053, 6710709.189970
726, 3207.573308, 6730972.702869
727, 14392.922514, 6729949.005706
728, 11355.146040, 6729853.010766
729, 4498.433572, 6729774.680502
730, 6131.525945, 6729080.703634
731, 9417.064341, 6727860.486393
732, 2275.177685, 6727402.350511
733, 6684.470698, 6727344.094897
734, 4378.719822, 6727034.275464
735, 8470.713306, 6726710.320917
736, 6984.309099, 6724971.360213
737, 12407.332467, 6726632.910162
738, 2615.452163, 6725118.397658
739, 8116.892369, 6724631.039848
740, 9215.008526, 6724716.055260
741, 3902.202367, 6723972.006181
742, 13518.467208, 6723583.508629
743, 10222.312027, 6723211.153593
744, 12328.265859, 6723407.703516
745, 9551.340080, 6722568.465538
746, 11104.187416, 6722455.508791
747, 8406.485982, 6722052.201766
748, 3359.429227, 6721443.712363
749, 6961.104664, 6721372.431442
750, 8701.836814, 6720343.751931
751, 10887.745864, 6719715.411827
752, 8250.811055, 6719468.244796
753, 8963.494349, 6718732.123657
754, -26509.739233, 6706413.502412
755, -32923.692068, 6705604.538139
756, -28294.492736, 6704684.570076
757, -30832.371534, 6705329.877944
758, -28946.157013, 6703517.766078
759, -31776.357822, 6702434.650878
760, -35691.187533, 6702884.308380
761, -33301.676000, 6702347.414363
762, -34634.758205, 6701861.941909
763, -39653.745501, 6701955.250855
764, -37252.143303, 6701954.025212
765, -31071.456955, 6699902.261241
766, -41305.328720, 6701207.039767
767, -37109.368790, 6700656.694482
768, -39978.611665, 6699472.658279
769, -37816.808201, 6699401.066382
770, -35860.596569, 6699068.927888
771, -38006.945629, 6697963.152606
772, -39370.343980, 6697182.445979
773, -41818.983445, 6697415.535858
774, -37680.281389, 6695944.960864
775, -34847.634923, 6694842.736461
776, -37044.758931, 6693605.821992
777, -4890.789257, 6710732.967079
778, -10532.458916, 6710664.881453
779, -8677.346059, 6710454.899158
780, -7746.891352, 6709714.712762
781, -9797.571541, 6710065.363833
782, -5905.349227, 6709536.187111
783, -4380.187914, 6709765.514311
784, -10724.017448, 6709560.357563
785, -6907.415903, 6708481.713128
786, -6001.425047, 6708672.472047
787, -9695.357192, 6708385.473483
788, -8167.801366, 6708303.047542
789, -11602.584315, 6708053.934857
790, -8928.594367, 6707782.630221
791, -9987.370989, 6707773.421032
792, -10736.995304, 6707230.837862
793, -7015.493664, 6706920.858038
794, -8676.471172, 6706320.982932
795, -9730.805812, 6705932.079339
796, -10620.778390, 6705826.104704
797, -7388.369075, 6705739.247789
798, -6305.851486, 6705683.014256
799, -9099.867681, 6704502.116715
800, -7996.701514, 6704449.925311
801, -6282.171043, 6704124.976110
802, -9619.512733, 6703286.924315
803, -7270.941352, 6702933.031697
804, -5686.100283, 6702592.163294
805, -8670.605360, 6702069.151949
806, -10123.110474, 6701469.331431
807, -7506.623140, 6700880.336321
808, -9066.084775, 6697868.821697
809, -18620.097779, 6689861.744444
810, -20221.090490, 6689161.216103
811, -23271.635449, 6688714.779653
812, -17716.977319, 6688287.273494
813, -19125.916164, 6688219.001884
814, -26814.874914, 6688505.131142
815, -21484.039911, 6688129.463048
816, -25921.150976, 6687841.123111
817, -24454.728679, 6687057.199166
818, -16929.995700, 6687024.689268
819, -15528.324222, 6688069.288125
820, -21401.362335, 6686431.479602
821, -20079.405582, 6686767.536799
822, -23147.692026, 6686534.023190
