Origin,Destination,Leave,Back,width time,Length Time,O 0-5,D 0-5,O 5-15,D 5-15,O 16-24,D 16-24,O 25-34,D 25-34,O 35-49,D 35-49,O 50-64,D 50-64,O 65-74,D 65-74,O 75+,D 75+,Width time,Length time
,,6,18,,,0,0,0,,2.0,0.0,17.0,0.0,24.0,0.0,14.0,0.0,2.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,11.0,0.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,4.0,0.0,11.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,10.0,0.0,30.0,0.0,29.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,10.0,0.0,26.0,0.0,47.0,0.0,17.0,0.0,3.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,6.0,0.0,12.0,0.0,56.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,3.0,11.0,4.0,7.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,7.0,0.0,19.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,0.0,29.0,0.0,57.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,14.0,0.0,75.0,0.0,125.0,0.0,34.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,9.0,0.0,8.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,2.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,10.0,3.0,7.0,21.0,14.0,13.0,10.0,1.0,1.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,3.0,9.0,5.0,17.0,6.0,3.0,7.0,2.0,1.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,8.0,2.0,8.0,4.0,15.0,13.0,9.0,14.0,0.0,1.0,0.0,1.0,10,60
,,6,18,,,0,0,0,,2.0,5.0,10.0,4.0,10.0,15.0,14.0,14.0,5.0,1.0,0.0,1.0,10,60
,,6,18,,,0,0,0,,9.0,3.0,14.0,8.0,38.0,13.0,19.0,8.0,4.0,2.0,1.0,0.0,10,60
