Node,x,y
735,543908.572720,190184.844500
736,543023.641384,189080.737000
737,546337.817319,190206.100000
738,540248.914416,189074.656000
739,543714.259651,188902.271000
740,544413.946255,188958.611000
741,541123.724552,188414.015500
742,547109.450151,188332.873500
743,545026.346393,188053.754000
744,546390.161091,188199.495500
745,544664.755321,187607.446500
746,545625.906096,187589.056000
747,543961.476280,187298.864500
748,540839.009680,186874.296500
749,543072.625034,186838.518500
750,544137.833567,186277.843500
751,545533.163943,185863.508500
752,543894.439534,185645.746500
753,544301.480322,185221.408000
754,522448.420202,177018.964500
755,518469.741879,176399.372000
756,521353.762313,175935.432000
757,519758.296366,176252.132000
758,520967.173555,175157.374500
759,519225.352365,174445.661500
760,516764.078809,174660.266500
761,518266.007909,174378.275500
762,517464.515057,174062.049500
763,514309.563654,174030.885500
764,515832.182505,174035.429000
765,519612.868838,172769.870500
766,513368.864046,173535.535500
767,515716.319506,173269.001500
768,514148.365783,172484.207000
769,515503.904345,172483.250000
770,516715.621717,172301.917000
771,515381.169216,171577.485000
772,514551.646363,171054.078500
773,513031.253072,171160.080500
774,515653.959634,170304.750500
775,517412.546045,169673.355500
776,516038.860278,168842.827500
777,535869.002368,180028.686000
778,532343.215251,179893.677500
779,533500.409270,179788.965000
780,534100.215017,179337.073000
781,532815.521510,179532.891000
782,535247.286510,179267.710500
783,536195.373872,179435.920500
784,532235.112330,179185.678500
785,534637.212648,178572.995500
786,535216.487384,178700.177000
787,532890.902192,178471.189500
788,533852.191750,178464.240000
789,531719.182884,178252.833000
790,533414.511238,178127.077500
791,532728.244088,178101.354000
792,532272.720924,177749.996000
793,534596.838054,177615.134500
794,533573.849300,177221.100000
795,532910.097954,176951.017500
796,532355.724498,176868.736500
797,534385.063141,176879.934500
798,535063.330258,176856.172500
799,533338.516767,176099.261500
800,534037.458222,176082.130000
801,535094.310821,175894.240500
802,533044.792349,175340.262500
803,534537.693109,175120.000000
804,535499.482179,174950.945500
805,533646.057213,174565.078000
806,532791.559277,174170.831500
807,534386.964042,173865.729500
808,533480.253633,172078.935000
809,527543.457195,166776.978000
810,526637.845848,166338.731500
811,524733.834632,166025.344000
812,528216.828923,165859.373000
813,527344.138633,165800.983000
814,522524.774163,165842.955000
815,525867.327792,165687.876500
816,523151.330105,165457.612500
817,524014.860417,164974.448500
818,528733.784073,165085.820000
819,529580.275069,165714.426500
820,525945.844275,164619.761000
821,526765.111758,164861.030000
822,524851.368175,164675.122500
823,527771.724948,164459.618000
824,524413.050344,163529.287500
825,529427.326328,163488.793000
826,525551.661500,163609.909500
827,530449.564245,163578.299000
828,528370.007459,163162.741000
829,526075.283198,163037.502000
830,526840.484478,162749.298500
831,528095.876096,161217.406000
832,536736.410891,183844.999500
833,535113.645813,183179.452500
834,536236.585336,183180.231000
835,537337.453151,183423.601500
836,534448.558016,183103.751000
837,533707.966963,182770.546500
838,535565.623685,182720.551000
839,537909.587179,182550.624000
840,534146.475668,182461.299000
841,535962.088819,182531.478000
842,535117.743993,182443.180500
843,537213.863362,182227.206000
844,534632.071139,182244.243500
845,536691.760452,181995.923500
846,533950.314274,181693.929000
847,535596.452807,181634.798500
848,535083.052212,181607.127500
849,538066.837591,181784.650000
850,536136.401885,181627.686500
851,537615.067178,181375.328500
852,534184.032207,181285.750000
853,535393.631020,181053.940500
854,536627.246253,181057.106500
855,537238.089071,181089.334500
856,535973.238423,180859.994500
857,534618.085958,180533.631000
858,533985.408674,180410.081500
859,538159.009848,180222.269000
860,538299.887573,178945.508000
861,537563.608759,178640.521500
862,537937.699402,194724.918000
863,539352.469453,194514.451000
864,538991.800896,192983.457500
865,538202.176188,192823.299000
866,537471.873418,192972.962500
867,536754.246261,192082.669000
868,539052.771851,191653.013500
869,537947.571087,191385.486000
870,536418.133690,190949.026500
871,538941.140973,190596.665000
872,537546.138474,190087.794000
873,536758.418779,189822.270000
874,538114.040120,189467.695000
875,535624.588591,189708.814000
876,539066.713058,189467.695000
877,537295.635739,188880.367000
878,536424.369872,188817.593000
879,535824.186993,188104.835000
880,538647.525069,188166.958500
881,537699.696568,188011.892000
882,539519.147059,188120.832500
883,536274.754041,187234.878500
884,538104.585863,187228.029500
885,539361.874244,187117.297500
886,538446.358696,186707.039000
887,537505.089517,186434.779000
888,538861.576697,186274.399000
889,539673.558536,186011.390000
890,527663.250225,177088.000000
891,529215.268061,177003.625000
892,527981.861112,176584.774500
893,526803.941684,176144.064500
894,528218.035740,175891.949500
895,523421.856496,175723.817500
896,526753.302148,175670.658500
897,527578.704828,175555.163000
898,528173.095748,175118.096500
899,524585.222445,175267.532500
900,523384.116137,175008.949500
901,526507.801194,175079.000000
902,521650.167232,174665.017000
903,524160.334508,174324.190000
904,527453.008980,174283.245000
905,523152.101071,174118.958500
906,528144.932847,174271.533500
907,525577.011849,174114.661500
908,526359.011904,174114.661500
909,524815.603241,173923.812500
910,528650.924874,173890.711000
911,523935.853810,173749.285000
912,522925.454322,173001.352500
913,526517.698847,173441.875500
914,525368.792462,173271.752500
915,529172.424824,172849.225000
916,527291.821121,172901.242000
917,524179.990575,172842.537500
918,528083.006410,172610.638500
919,528612.454727,172414.595500
920,526396.145344,172406.463500
921,527592.722743,171970.632000
922,527183.207912,171800.147000
923,526873.914538,171528.615000
924,527785.501512,171157.167000
