Home,Location,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
150,150,321,502,258,560,683,1206,1407,779,822
151,151,560,1055,594,1076,945,2169,2475,1278,1357
152,152,369,752,441,669,556,1629,1530,855,951
153,153,538,750,426,596,741,1417,1366,737,765
154,154,302,524,364,607,555,1217,1411,788,758
155,155,336,685,443,762,614,1473,1683,821,726
156,156,518,853,415,610,767,1978,1551,831,746
157,157,307,611,333,550,514,1303,1265,736,931
158,158,391,669,377,548,638,1456,1580,842,779
159,159,382,614,335,624,736,1336,1403,726,385
160,160,425,836,468,735,1285,1794,1825,963,749
161,161,524,978,405,557,1319,2273,1603,876,890
162,162,489,762,370,737,2069,2179,1618,757,508
163,163,612,982,553,943,1119,2137,1389,717,736
164,164,532,838,390,804,2317,2305,1346,626,520
165,165,588,833,372,710,1846,2304,1506,744,549
166,166,771,1132,605,1520,2551,2411,1798,681,618
167,167,674,916,335,685,2086,2773,1190,623,599
168,168,459,811,432,1524,2385,1916,1624,657,415
169,169,554,676,334,1031,3547,2739,1265,670,410
170,170,521,558,227,377,1511,2249,1137,594,469
171,171,531,950,511,1284,2162,2210,1433,688,682
172,172,647,765,332,963,2872,2480,1376,620,356
173,173,527,774,333,555,1360,1824,1142,566,485
174,174,455,724,390,1748,2414,1818,1310,542,350
175,175,705,649,300,635,2414,2333,1158,497,437
176,176,630,812,356,760,1726,2035,1208,555,582
177,177,447,737,345,603,1568,1986,1552,791,571
178,178,469,703,409,2024,2534,1986,1305,462,345
179,179,549,948,497,887,1962,2218,1547,745,589
180,180,294,527,239,1268,2155,1642,1189,447,407
181,181,614,1123,607,2087,2238,1989,1380,544,496
182,182,469,789,453,2189,1553,1493,1108,417,400
183,183,386,614,258,1477,1594,1329,812,327,274
184,184,323,510,211,2396,1709,1408,1055,516,400
185,185,196,349,129,3171,1852,1382,946,386,279
186,186,412,623,320,1046,1978,1908,1523,571,391
187,187,208,408,179,1564,1932,1931,1337,633,390
188,188,653,789,395,731,1652,2516,1598,547,466
189,189,640,845,445,916,1317,2143,2003,800,662
190,190,608,665,353,856,1266,1626,1535,595,527
191,191,638,1003,472,861,1469,2138,1676,673,600
192,192,692,1028,469,926,1163,1969,1608,445,384
193,193,561,842,500,879,1018,1871,1831,511,344
194,194,626,842,371,739,1332,2229,1644,525,481
195,195,896,1046,477,866,1616,1997,1528,434,332
196,196,578,803,440,824,1163,1757,1723,589,549
197,197,655,765,415,773,1132,1777,1446,518,401
198,198,698,1028,479,1047,1337,1974,1797,626,569
199,199,837,1125,542,959,1562,2332,1754,486,543
200,200,614,960,519,1001,1377,1981,1801,484,356
201,201,1079,1227,612,1221,1691,2596,1583,428,398
202,202,633,1036,557,964,1279,1962,1579,465,299
203,203,648,831,401,796,1257,2020,1667,472,362
204,204,412,593,365,709,892,1504,1791,962,808
205,205,742,1218,562,987,1320,2191,1545,377,307
206,206,1111,1281,460,1158,2121,2546,1629,465,288
207,207,319,544,304,573,702,1215,1443,597,498
208,208,869,892,411,960,2420,2657,1781,646,618
209,209,500,634,239,453,1077,1560,1028,653,745
210,210,1138,1265,539,1194,2524,2951,1672,489,357
211,211,422,809,456,769,706,1220,1346,578,426
212,212,277,484,358,706,652,1190,1819,1016,978
213,213,1032,1068,387,1047,3468,3087,1521,554,506
214,214,780,1223,673,1208,1495,2320,1861,613,596
215,215,654,740,291,613,1506,2012,1428,565,458
216,216,743,1344,736,1091,1025,1571,1275,375,417
217,217,668,758,322,639,1437,1914,1296,551,378
218,218,469,878,486,852,874,1439,1536,571,448
219,219,326,533,331,807,706,1299,1778,908,777
220,220,786,990,517,1024,1510,2191,2398,1172,834
221,221,414,693,337,599,642,1503,1653,973,899
222,222,510,869,436,695,803,1275,1280,441,432
223,223,706,837,473,883,1449,2196,2091,969,867
224,224,337,579,398,733,703,1340,1853,883,748
225,225,340,523,321,613,520,1234,1275,771,654
226,226,528,642,304,541,910,1420,1147,496,485
227,227,588,849,426,781,1001,1951,1689,816,594
228,228,432,605,314,667,713,1479,1535,735,566
229,229,573,795,376,668,839,1708,1641,840,519
230,230,451,666,312,603,664,1404,1687,970,874
231,231,674,935,519,916,1404,2076,1553,657,447
232,232,517,783,380,787,1461,1755,1591,693,635
233,233,752,1211,554,989,1437,2181,1626,622,525
234,234,497,614,313,651,1022,1410,1159,460,389
235,235,439,662,300,763,1054,1468,1160,472,364
236,236,590,805,372,754,1331,1797,1433,598,574
237,237,494,707,324,611,1160,1816,1154,637,398
238,238,822,1047,453,728,1211,1762,1380,440,384
239,239,735,1027,522,990,1068,1636,1509,509,462
240,240,906,1205,573,908,1412,2363,1532,663,689
241,241,566,650,268,698,1350,1881,1149,513,407
242,242,503,730,359,764,1032,1527,1241,519,609
243,243,411,627,307,473,614,1366,1185,667,480
244,244,442,757,370,696,982,1544,1455,550,486
245,245,672,879,338,2151,2569,2301,1322,508,415
246,246,621,1049,574,890,1077,1967,1565,686,649
247,247,516,788,412,761,1173,1747,1593,673,528
248,248,638,924,435,863,1146,1928,1681,755,686
249,249,576,621,306,724,1615,2090,1446,564,512
250,250,912,1027,496,1333,2850,3576,2107,883,916
251,251,422,674,282,801,1127,1697,1004,436,348
252,252,418,634,324,535,659,1414,1130,454,319
253,253,698,916,458,767,1241,2075,1601,701,649
254,254,730,1075,508,1433,2410,2609,1611,659,512
255,255,589,795,325,828,1602,2133,1482,485,449
256,256,793,1236,633,1081,1530,2766,2045,801,717
257,257,444,582,271,876,1584,1932,1347,637,545
258,258,886,982,410,859,1797,2686,1605,656,534
259,259,776,1171,620,1317,1581,2487,1980,655,589
260,260,566,811,304,542,956,1907,1244,443,344
261,261,476,634,322,928,1444,2038,1606,763,509
262,262,566,769,295,681,1150,1933,1450,561,412
263,263,683,816,355,737,1235,1781,1169,422,381
264,264,497,608,281,531,924,1670,1321,541,337
265,265,426,580,273,523,704,1496,1244,553,499
266,266,1154,1571,772,1345,1962,3308,2370,828,516
267,267,518,728,344,627,1064,1523,1351,600,523
268,268,496,636,236,482,1065,1725,987,411,319
269,269,517,825,447,928,1128,1455,1342,461,468
270,270,770,1237,631,1159,1456,1880,1543,510,552
271,271,1107,1659,798,1581,2074,2757,2036,568,355
272,272,565,884,381,701,1068,1785,1602,801,655
273,273,802,1078,464,879,1333,2001,1543,594,524
274,274,921,1306,648,1181,1430,2051,1547,498,371
275,275,621,988,556,1120,1219,1762,1548,509,429
276,276,596,860,388,651,1277,1993,1537,663,601
277,277,355,555,306,584,710,1243,1435,628,545
278,278,512,604,250,553,1286,1814,1616,877,914
279,279,393,593,320,648,899,1328,1363,801,735
280,280,930,1292,704,1308,1616,2412,1827,608,535
281,281,297,575,359,610,610,1216,1392,716,749
282,282,646,925,436,762,1042,1457,968,354,278
