Home,Location,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
283,283,866,891,382,836,1856,2256,1609,679,774
284,284,696,1018,526,1058,1433,2060,1738,635,568
285,285,354,564,310,520,676,1242,1360,711,664
286,286,610,1063,583,1150,1232,1855,1665,640,531
287,287,637,918,467,751,1208,2003,1531,622,812
288,288,698,862,423,1063,1737,2431,1587,722,828
289,289,559,745,402,842,1258,1923,1928,1004,863
290,290,489,692,326,651,969,1711,1680,766,695
291,291,797,1236,598,1124,1519,1991,1700,526,463
292,292,722,1019,472,1015,1354,1900,1549,482,431
293,293,909,1376,693,1265,1683,2272,1686,556,483
294,294,647,814,364,750,1181,1863,1585,719,597
295,295,687,1008,589,1190,1360,1816,1504,507,402
296,296,431,715,359,661,1069,1635,1708,817,730
297,297,576,611,307,747,1660,2173,1609,646,523
298,298,796,1065,568,1020,1439,1929,1416,473,409
299,299,682,1039,542,1110,1613,1997,1819,700,552
300,300,569,729,332,807,1530,1974,1310,569,491
301,301,1007,1548,735,1429,1937,2709,1918,535,421
302,302,704,981,480,1070,2083,2246,1760,804,587
303,303,729,827,347,1062,2535,2792,1861,701,647
304,304,527,926,452,801,1014,1860,1345,383,166
305,305,1230,1991,891,1877,2811,4390,2211,390,196
306,306,783,1269,613,1007,1345,2096,1607,469,431
307,307,1076,1130,472,1355,4025,3992,1601,489,284
308,308,808,1075,479,922,1267,2018,1283,386,279
309,309,825,1024,476,978,1886,2454,1682,639,443
310,310,975,1235,473,1066,2476,3117,1596,521,333
311,311,648,780,340,778,1054,1689,1275,422,253
312,312,677,816,398,796,1260,1777,1252,395,280
313,313,996,1272,551,1122,2206,2695,1554,478,370
314,314,592,877,452,796,1287,1773,1247,488,417
315,315,581,780,285,680,1222,1981,1119,432,309
316,316,655,796,396,890,1425,1473,1033,264,149
317,317,439,546,257,516,1225,1686,1077,561,478
318,318,432,545,277,579,883,1427,1271,461,379
319,319,587,732,387,888,1454,2002,1248,455,413
320,320,508,711,328,696,1026,1927,1431,632,401
321,321,397,550,189,465,1270,1600,955,547,520
322,322,427,578,328,618,908,1590,1230,485,389
323,323,516,626,247,551,785,1616,1353,606,510
324,324,576,817,407,835,1076,1876,1548,622,503
325,325,359,542,293,557,673,1431,1235,646,524
