,Name,S,E,A,Ia,Is,R,Im
38,E06000041,0.994082170340013,0.00017755448102255367,0.00022747965117410855,0.00015755090151326533,0.0016588261649183127,0.0054859750067239865,0.0007042415194781268
39,E06000042,0.985595519634668,0.00026532244664152196,0.00044706861005307697,0.0003266937910956195,0.003696065881264225,0.012761488666689913,0.0010478141287772692
40,E06000043,0.9941786771905695,9.942787258537588e-05,0.0001800902147088253,0.0001714834919373472,0.0018761161761327427,0.005275036810244438,0.00051428348801467
41,E06000044,0.9910897079011924,0.00028565854144480755,0.00036579532033377944,0.0002234408717799947,0.0024815007025292915,0.0056684942074476385,0.0007363654448831863
42,E06000045,0.9899539451132007,0.00016525409631985684,0.0002448481738628758,0.00018515042421581062,0.0019473313476779202,0.009857077161306349,0.0005777429994790266
43,E06000046,0.998639864508277,0.00017104198024025247,0.00024379773519957393,0.00017747761436476153,0.0018472055098049354,0.004670324307882501,0.00015500112604863097
44,E06000047,0.9959027967919628,0.00041572830914441794,0.00043152306280286215,0.00017835087557754273,0.0019576365667374317,0.004615964910949399,0.0007472819176657581
45,E06000049,0.9962393189325247,0.00028146478549186154,0.00029648574780751126,0.00013456188106257124,0.0014525512466380622,0.004311479281436936,0.0005987567421465274
46,E06000050,0.9964623158125626,0.00024212801656207608,0.00025565487320096153,0.00011716471706862284,0.0012235105445304892,0.004232599498008471,0.0005609836346973839
47,E06000051,0.9977024161460134,0.00021079473373642116,0.00021281160666739802,9.645370368400852e-05,0.0009989877746490817,0.006311122065538521,0.00038422860952391015
48,E06000052,0.9985181354728467,0.0004932906378133428,0.0003632083188902143,8.242364396047123e-05,0.0007672259239263432,0.005041587033452477,0.0003027236017103929
49,E06000053,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,E06000054,0.9970881191854647,0.00013533437912809622,0.00016014797869867117,8.764244021423589e-05,0.0009463013037364061,0.008121681502251787,0.0004369682973644648
51,E06000055,0.9957647597877234,0.00034044932032092716,0.0003796398568708444,0.00022156543703967104,0.002238804459512374,0.006143456752763399,0.0005472843256255544
52,E06000056,0.9954636844855825,0.00027334693530247506,0.0003008632891875997,0.00015497419391983643,0.0016337728823523222,0.003479392166103601,0.0006972818964223062
53,E06000057,0.9971954721894292,0.0002289890338874907,0.0002306608733613582,0.00010483877110498714,0.0010677169852858419,0.003666487400788232,0.0004787864296715322
54,E06000058,0.9984846064628177,5.823699873171668e-05,8.259382467118761e-05,6.440138976960804e-05,0.0006490896836292819,0.004846581435802855,0.00023828230772868678
55,E06000059,0.9989088271079208,7.39329624585996e-05,9.350358999620576e-05,6.0794088884820925e-05,0.0006256711968154431,0.0023451898468279664,0.0002680007866787627
56,E07000004,0.9965328711309795,6.427780144454012e-05,0.00014551168453587029,0.00016409042391180855,0.0017152944288738702,0.0037830276139860786,0.00037339607356368397
57,E07000005,0.9899855096554099,0.0006751362107387035,0.0007217119844583935,0.000352492030092247,0.00358965894861017,0.004870510568206976,0.0013791803705985718
58,E07000006,0.9906731428514488,0.00037120922979672673,0.0005506619019350176,0.0004167214770481626,0.004365662636622617,0.007831706945139016,0.0011072449555108723
59,E07000007,0.992086773931609,0.00012560069364201518,0.00018006135511759798,0.00015444397417074455,0.0015856666148888054,0.015202661806914874,0.0005686901431666923
60,E07000008,0.9959479110993433,0.0001369843145081154,0.0002600700147610945,0.0002854641013306915,0.0028876589617556478,0.005112409216881497,0.00030950088831868715
61,E07000009,0.997922534697031,0.0005411637164964466,0.0006132764098303479,0.0003702666988435298,0.00376402477974481,0.009850200724313307,0.00017587894791702696
62,E07000010,0.9974250593923205,0.00014566094111163923,0.0002714591096765226,0.00025732625743205814,0.002647041099949327,0.004733030490469137,0.0003223181123269416
63,E07000011,0.9982550549937221,4.2668505608083184e-05,0.0001363075415149403,0.00016862752548907808,0.0017779006568568825,0.004361821368318308,0.00017721943954725165
64,E07000012,0.9974505169460937,0.0001260600109979148,0.0002119214387237809,0.0001926992155280314,0.002014403120527607,0.006233966141715119,0.00022714554311644515
65,E07000026,0.9951040869807332,0.00030061451529875846,0.00041618815136936654,0.00030281772452884765,0.0030329242736990584,0.013165842840314301,0.0007342081403957656
66,E07000027,0.9897380912370595,0.000784397874928899,0.000969716151980339,0.0005569162921660775,0.006117790149520209,0.01027313563112131,0.001276919900268818
67,E07000028,0.9925405011627612,0.00032759613738298675,0.00040465767215032487,0.0002646924219714031,0.002653808013832272,0.010043606682810235,0.0008891027813855388
68,E07000029,0.993136895193972,0.0006708125754172673,0.0008758596868442475,0.000559103167718308,0.005960555275756371,0.006446617611494121,0.0008891423280038475
69,E07000030,0.9957134293611509,0.0001419640275496459,0.00029249840208369666,0.0003303756797448116,0.003396079967298136,0.018484905571597876,0.0007195811880838228
