Home,Location,S(0-49),E(0-49),I(0-49),R(0-49),S(50+),E(50+),I(50+),R(50+)
267,267,4933,0,0,0,2539,0,0,0
268,268,4765,0,0,0,1767,0,0,0
269,269,5356,0,0,0,2296,0,0,0
270,270,7203,0,0,0,2634,0,0,0
271,271,10063,0,0,0,2990,0,0,0
272,272,5443,0,0,0,3089,0,0,0
273,273,6621,0,0,0,2690,0,0,0
274,274,7610,0,0,0,2444,0,0,0
275,275,6327,0,0,0,2513,0,0,0
276,276,5823,0,0,0,2831,0,0,0
277,277,3798,0,0,0,2637,0,0,0
278,278,5074,0,0,0,3443,0,0,0
279,279,4227,0,0,0,2929,0,0,0
280,280,8336,0,0,0,3002,0,0,0
281,281,3711,0,0,0,2886,0,0,0
282,282,5328,0,0,0,1621,0,0,0
283,283,7159,0,0,0,3094,0,0,0
284,284,6859,0,0,0,2973,0,0,0
285,285,3710,0,0,0,2762,0,0,0
286,286,6560,0,0,0,2865,0,0,0
287,287,6047,0,0,0,2996,0,0,0
288,288,7282,0,0,0,3168,0,0,0
289,289,5788,0,0,0,3832,0,0,0
290,290,4890,0,0,0,3173,0,0,0
291,291,7334,0,0,0,2718,0,0,0
292,292,6546,0,0,0,2490,0,0,0
293,293,8272,0,0,0,2754,0,0,0
294,294,5677,0,0,0,2931,0,0,0
295,295,6715,0,0,0,2439,0,0,0
296,296,4923,0,0,0,3288,0,0,0
297,297,6136,0,0,0,2807,0,0,0
298,298,6885,0,0,0,2323,0,0,0
299,299,7050,0,0,0,3103,0,0,0
300,300,6001,0,0,0,2396,0,0,0
301,301,9452,0,0,0,2902,0,0,0
302,302,7636,0,0,0,3183,0,0,0
303,303,8366,0,0,0,3241,0,0,0
304,304,5627,0,0,0,1912,0,0,0
305,305,13278,0,0,0,2819,0,0,0
306,306,7170,0,0,0,2529,0,0,0
307,307,12131,0,0,0,2394,0,0,0
308,308,6622,0,0,0,1968,0,0,0
309,309,7701,0,0,0,2785,0,0,0
310,310,9409,0,0,0,2472,0,0,0
311,311,5338,0,0,0,1970,0,0,0
312,312,5772,0,0,0,1947,0,0,0
313,313,8905,0,0,0,2422,0,0,0
314,314,5824,0,0,0,2173,0,0,0
315,315,5576,0,0,0,1878,0,0,0
316,316,5685,0,0,0,1462,0,0,0
317,317,4709,0,0,0,2135,0,0,0
318,318,4182,0,0,0,2132,0,0,0
319,319,6101,0,0,0,2136,0,0,0
320,320,5243,0,0,0,2487,0,0,0
321,321,4511,0,0,0,2040,0,0,0
322,322,4489,0,0,0,2124,0,0,0
323,323,4381,0,0,0,2491,0,0,0
