,st_areasha
237,1796250.3738375
238,1651971.0408365
239,2050682.224416
240,1396966.6396475
241,1724947.0896665
242,1276227.359715
243,999279.2168275
244,943413.5545355
245,3206217.7550365
246,1153936.15644
247,1044480.8333325
248,1548050.881131
249,1093593.152335
250,2180458.812798
251,1030033.9907075
252,1273169.930834
253,1086329.4158215
254,1300177.19998
255,714394.391896
256,1237062.260929
257,1424941.304835
258,1012957.8040775
259,3879068.8298635
260,755880.0193765
261,1330073.1907165
262,886280.3574765
263,797541.1336505
264,749050.545084
265,1199695.3545525
266,1433011.258452
267,1172103.4387475
268,837214.601444
269,1052337.591109
270,1312430.614021
271,2623256.4371865
272,15561696.224812
273,1888744.760506
274,1267190.320622
275,1142089.9528135
276,1285189.8249115
277,990010.2636715
278,2054449.9036875
279,8876801.466273
280,2114123.8420035
281,3398309.8911405
282,4877652.2086775
283,1165473.117543
284,1868896.8328155
285,2147602.8220405
286,1957266.485686
287,1614840.193856
288,1799149.763791
289,1619772.4794
290,1993801.5849425
291,877343.711798
292,784018.806702
293,2730197.234376
294,1583335.3016865
295,1248013.475063
296,1731300.505195
297,965416.357232
298,2095386.3370995
299,1105217.1597765
300,1141469.8677525
301,1628451.5656945
302,1420911.45627
303,1301853.545023
304,731574.9181195
305,3184693.506533
306,1193990.16836
307,1889810.670843
308,652083.211055
309,1109022.348228
310,921579.1137875
311,1461913.7602945
312,626641.220513
313,761743.490546
314,1308340.178812
315,729700.993837
316,1852449.0451565
317,871573.056251
318,1756142.8739695
319,991836.93797
320,2029733.2667275
321,1261604.137479
322,1382483.0113845
323,1306167.6296325
324,1392993.5056815
325,1249654.595879
326,3267246.783562
327,1786516.307309
328,1356039.326126
329,1253358.267749
330,1296833.189345
331,613114.525279
332,582249.319966
333,688279.1129685
334,552580.292565
335,568733.7786375
336,523137.8417015
337,760492.580836
338,565360.89112
339,788586.0079325
340,653313.3766125
341,405171.943153
342,1516291.175337
343,609407.019176
344,439806.6842525
345,548039.6861175
346,593668.9538815
347,1295374.305176
348,598242.6123775
349,665334.5463105
350,969340.0087305
351,640232.7925125
352,741106.900392
353,635951.294274
354,649303.008467
355,487766.3525585
356,996679.219074
357,3442874.7662935
358,409320.4970005
359,496665.778022
360,747495.3801945
361,410293.3070795
362,440472.1051685
363,293825.6777905
364,678890.649549
365,352101.9233295
366,548685.735814
367,624426.9606035
368,601784.680386
369,777015.6004465
370,401862.0868925
371,442886.3956445
372,407380.3216665
373,532893.2233145
374,630162.9234685
375,346063.072125
376,667745.341001
377,554112.966791
378,355927.413145
379,650824.8926465
380,953729.5693905
381,622411.000026
382,568402.201676
383,1189000.634276
384,1337079.4878215
385,744507.369156
386,951959.193029
387,842897.430239
388,643150.92755
389,1778726.3046345
390,458386.6869415
391,518851.889463
392,517109.116606
393,692923.2616965
394,757598.2894965
395,1385866.4379305
396,774712.374584
397,1224075.0332305
398,412619.778183
399,701901.3843025
400,624523.6579645
401,1059439.3390745
402,716466.9865245
403,641859.1308245
404,589380.586235
405,778227.19974
406,541355.014738
407,552796.530279
408,666571.1631545
409,546353.8076425
410,2223638.5636555
411,1080465.71571
412,595621.083143
413,976239.2669795
414,659706.4773115
415,611346.9265945
416,532641.267905
417,6312583.753359
418,1965363.7731665
419,1800483.28528
420,4726760.766984
421,1403525.9154585
422,1752149.66178
423,1065510.504894
424,1498427.6761195
425,2329190.702688
426,1142313.274712
427,976642.9886665
428,1098404.2961955
429,1249037.6137585
430,2124380.7839985
431,1724762.0960355
432,922505.168359
433,1592923.021302
434,1126022.26089
435,1032752.902036
436,1563293.753457
437,1223697.6528805
438,931698.031526
439,1167043.2497115
440,1187181.0075135
441,866145.4741665
442,2667923.069075
443,1002027.1722005
444,923990.2280735
445,5861855.9075375
446,2794740.5692115
447,6276761.376189
448,1356512.374957
449,4093088.3348745
450,1723480.860669
451,6767453.1049545
452,2138505.838728
453,1534431.3726295
454,2868058.7003765
455,2205335.797636
456,2793116.605097
457,1568237.8554695
458,1748477.6246475
459,2486464.734621
460,1369436.5297805
461,3379807.294245
462,12250855.6522005
463,2821512.3698325
464,1602975.3937915
465,1856821.3208465
466,2097397.79879
467,1268943.8725215
468,12878085.454344
469,1831583.734403
470,2598171.7190545
471,2050425.0678675
472,4804366.856073
473,14050752.190936
474,1291975.243393
475,6215021.0647925
476,2722336.4946105
477,15221679.4188265
478,2706547.7747445
479,3144003.8119945
480,1613678.2936685
481,2886697.869013
482,1434687.7994875
483,4166624.55805
484,1381214.4250275
485,3072128.128315
486,5471933.971785
487,2687584.1440725
488,2749059.114738
489,2021253.820876
490,2136025.2964605
491,2389849.9238525
492,1407189.274979
493,1466214.5130675
494,1197252.593052
495,3147964.407373
496,1656638.5682685
497,1555374.262309
498,2523114.984707
499,1812882.873343
500,4359733.9936005
501,2455550.605198
502,1566458.193686
503,1655784.4164395
504,20508068.550523
505,4067496.5731045
506,921721.5617205
507,2325913.881407
508,1184878.125075
509,2718882.8228755
510,2549300.820782
511,2280797.022697
512,1063320.853856
513,4862643.4919295
514,1551502.5820425
515,1601052.708637
516,1889680.572002
517,2348547.084557
518,1643946.765639
519,1258643.932173
520,1047296.428314
521,1046889.219132
522,1143178.627877
523,1385392.546672
524,1319702.820281
525,2470149.470326
526,3261809.3093465
527,3533336.53919
528,2457357.348752
529,939806.644507
530,2127353.958885
531,3058497.8434265
532,2534453.9144015
533,635502.639346
534,597329.689063
535,652103.99904
536,709892.7317805
537,478113.0937125
538,579731.2689985
539,501963.331012
540,617305.414367
541,645301.9747455
542,573546.0830935
543,810657.934526
544,510389.5154105
545,701808.9213535
546,662208.5085315
547,906347.3403065
548,699338.098945
549,599602.9304715
550,502655.6254015
551,463703.482289
552,721446.2256365
553,607574.4259855
554,929760.530095
555,755958.4966235
556,874869.3552725
557,509634.503721
558,613713.382774
559,396191.1920945
560,432589.705329
561,486588.857189
562,574400.302399
563,915217.8551435
564,907992.0578705
565,520856.5825115
566,522102.9868295
567,766246.501796
568,374340.540019
569,460274.7740375
570,357875.132237
571,567992.8858475
572,496650.0887645
573,775777.414839
574,634689.8330725
575,548488.610484
576,396428.650741
577,1328362.2064165
578,4142475.264975
579,1115022.6153035
580,1066409.5482825
581,1073017.9611455
582,1327853.601766
583,1534910.6748175
584,1433905.175012
585,1507797.423105
586,1434917.415772
587,822713.1953155
588,1480596.409443
589,1119032.5780175
590,1795522.7829935
591,1881817.172009
592,1203952.7593595
593,2957898.934187
594,1640540.541614
595,1307814.3922045
596,7061573.674301
597,544158.633972
598,724706.4938955
599,725055.7832385
600,778035.685984
601,457994.996994
602,575084.9562305
603,556973.7111055
